ID,RA,DEC,zml,X,Y,Z,PROB_GAL_GAIA,PROB_GAL,sigma_68,pdf_means_0,pdf_means_1,pdf_means_2,pdf_stds_0,pdf_stds_1,pdf_stds_2,pdf_weights_0,pdf_weights_1,pdf_weights_2,dis
iDR5_3_SPLUS-s24s44_0010762,67.03410932252982,-31.24276929210403,0.0823265239596366,82.39181112152173,194.4246705618061,-128.09974965837452,1.0,0.9819999933242798,0.0194999985396862,0.0871895551681518,0.0734385550022125,0.0957539975643158,0.018432043492794,0.0176512505859136,0.0918808206915855,0.650572657585144,0.3447819650173187,0.0045586051419377,246.9795718789098
iDR5_3_SPLUS-s24s44_0012566,67.00586129561907,-31.173455868063066,0.1588367223739624,159.26428303237614,375.30988063784304,-246.65628112075325,1.0,0.9980000257492064,0.0194999948143959,0.1605432033538818,0.1510098576545715,0.125767096877098,0.0180837307125329,0.0228253714740276,0.0868185982108116,0.678290069103241,0.3142588138580322,0.0074086817912757,476.5101671218872
iDR5_3_SPLUS-s24s44_0012634,67.321148432996,-31.19411096791391,0.1006734743714332,99.61221725976644,238.3777793863164,-156.42818302845015,1.0,0.9980000257492064,0.0105000026524066,0.1008650586009025,0.1003844887018203,0.0888195484876632,0.0097564160823822,0.0113530196249485,0.0733168423175811,0.5466606616973877,0.4418032467365265,0.0111817074939608,302.0204231142996
iDR5_3_SPLUS-s24s44_0013794,66.85330089736023,-31.134106380028072,0.1229183599352836,124.07364598245222,290.23087331296625,-190.66221290867648,1.0,1.0,0.0224999971687793,0.1300476491451263,0.1120723932981491,0.1528517752885818,0.0205310340970754,0.0192234776914119,0.0849905684590339,0.6186209321022034,0.3675630390644073,0.0136583261191844,368.7550798058508
iDR5_3_SPLUS-s24s44_0014711,67.74787038242783,-31.10830500528333,0.051163263618946,49.76529623511136,121.62968684170386,-79.30164226985802,1.0,1.0,0.0080000013113021,0.0532098449766635,0.0483756959438324,0.132236361503601,0.0077276872470974,0.007783867418766,0.0632907375693321,0.5569972991943359,0.4375432431697845,0.0056349812075495,153.489790856838
iDR5_3_SPLUS-s24s44_0015262,68.18648365998502,-31.087215691738653,0.0657550990581512,62.77384480305327,156.83849592929212,-101.8564090894878,1.0,1.0,0.0124999992549419,0.0655407905578613,0.0885112732648849,0.1448270082473755,0.0063595063984394,0.0151643315330147,0.076975829899311,0.7272241115570068,0.2676394879817962,0.004812576342374,197.2652971744536
iDR5_3_SPLUS-s24s44_0016700,68.20349798725164,-31.038778179969604,0.0534081645309925,50.97482511448469,127.4687236017097,-82.61464794468789,1.0,1.0,0.0085000023245811,0.0533723793923854,0.053790844976902,0.1178467869758606,0.0070588765665888,0.0114391706883907,0.0874978303909301,0.7124964594841003,0.2811790704727173,0.0064354557543993,160.2244935929775
iDR5_3_SPLUS-s24s44_0016748,67.66241986539652,-31.044106296657898,0.0706734731793403,69.03951483585402,168.02174087350073,-109.3384574893319,1.0,0.9950000047683716,0.006499994546175,0.0703757628798484,0.0732827708125114,0.0970247238874435,0.0049257827922701,0.0087180761620402,0.0632507726550102,0.5675665140151978,0.4294442534446716,0.0028875423595309,212.0204195380209
iDR5_3_SPLUS-s24s44_0018030,67.10443366457463,-30.99429696617036,0.1542448997497558,154.32348747459315,365.4137430440296,-238.2865071663541,1.0,1.0,0.0134999901056289,0.1547005474567413,0.1482617557048797,0.1139293164014816,0.0110756941139698,0.0200470704585313,0.0848829299211502,0.6550264358520508,0.3371164202690124,0.0072771226987242,462.7346992492674
iDR5_3_SPLUS-s24s44_0019735,67.83852034390857,-30.940575024798903,0.1254081726074218,121.72385416454016,298.84937098368965,-193.4353757733545,1.0,1.0,0.015999998897314,0.1285632252693176,0.1185396164655685,0.1123238354921341,0.0150359999388456,0.0155683532357215,0.0755500942468643,0.6396647691726685,0.3536160588264465,0.0066724456846714,376.2245178222654
